Issue Type,Summary,Description,Priority,Epic Name,Date Created,Date Resolved,Status
Story,Backend: Implement Booking GET/DELETE,Implement bookings GET and DELETE endpoints,High,Sprint 4: Full-Stack Development,08/Apr/2026 09:45 AM,12/Apr/2026 08:51 PM,Done
Story,Backend: Implement Admin bookings,Implement admin bookings endpoints,High,Sprint 4: Full-Stack Development,07/Apr/2026 11:42 AM,14/Apr/2026 02:20 AM,Done
Story,Backend: Write unit tests,Write unit tests for core logic,Medium,Sprint 4: Full-Stack Development,08/Apr/2026 12:01 PM,15/Apr/2026 01:17 AM,Done
Story,Frontend: Bootstrap React app,Bootstrap React app with Tailwind CSS,High,Sprint 4: Full-Stack Development,07/Apr/2026 03:57 PM,09/Apr/2026 05:47 AM,Done
Story,Frontend: Implement AuthContext,Implement AuthContext for JWT storage,High,Sprint 4: Full-Stack Development,06/Apr/2026 11:05 AM,24/Apr/2026 03:00 AM,Done
Story,Frontend: Build Login/Register screen,Build Login and Register screens,High,Sprint 4: Full-Stack Development,08/Apr/2026 03:06 PM,24/Apr/2026 06:42 AM,Done
Story,Frontend: Build Room Search screen,Build Room Search screen with filters,High,Sprint 4: Full-Stack Development,06/Apr/2026 03:33 PM,13/Apr/2026 05:19 AM,Done
Story,Frontend: Build Booking Form screen,Build Booking Form screen with conflict warning,Highest,Sprint 4: Full-Stack Development,08/Apr/2026 05:31 PM,23/Apr/2026 07:49 AM,Done
Story,Frontend: Build Booking History screen,Build Booking History screen with cancel action,High,Sprint 4: Full-Stack Development,07/Apr/2026 01:58 PM,20/Apr/2026 02:11 AM,Done
Story,Frontend: Build Admin Panel,Build Admin Panel with room inventory and approval queue,High,Sprint 4: Full-Stack Development,07/Apr/2026 04:50 PM,14/Apr/2026 05:57 AM,Done
Task,Integration: Connect API calls,Connect all React API calls to live Flask endpoints,Highest,Sprint 4: Full-Stack Development,08/Apr/2026 10:35 AM,23/Apr/2026 02:01 AM,Done
Task,Integration: End-to-end test,Run end-to-end testing flow,High,Sprint 4: Full-Stack Development,08/Apr/2026 12:46 PM,24/Apr/2026 03:18 AM,Done
Bug,Integration: Bug-fix pass,Fix backend edge cases and frontend responsive issues,High,Sprint 4: Full-Stack Development,06/Apr/2026 10:29 AM,15/Apr/2026 02:39 AM,Done
Task,Deploy alpha build,Deploy alpha build locally and conduct feedback sessions,Medium,Sprint 4: Full-Stack Development,07/Apr/2026 04:21 PM,13/Apr/2026 03:44 AM,Done
Epic,Sprint 5: QA Delivery & PM,Testing and final project submission,Highest,Sprint 5: QA Delivery & PM,25/Apr/2026 12:00 AM,08/May/2026 12:00 AM,Done
Task,Incorporate alpha feedback,Incorporate alpha feedback and prioritized change log,High,Sprint 5: QA Delivery & PM,26/Apr/2026 11:52 AM,30/Apr/2026 05:37 AM,Done
Task,Integration testing,Perform integration testing on booking and approval modules,High,Sprint 5: QA Delivery & PM,25/Apr/2026 11:36 AM,05/May/2026 03:45 AM,Done
Task,System testing,Perform system testing for full reservation workflow,High,Sprint 5: QA Delivery & PM,27/Apr/2026 05:41 PM,07/May/2026 11:23 AM,Done
Task,User Acceptance Testing (UAT),Perform UAT with real users,Highest,Sprint 5: QA Delivery & PM,25/Apr/2026 01:33 PM,06/May/2026 01:54 AM,Done
Task,Write code documentation,Write code documentation and API reference,Medium,Sprint 5: QA Delivery & PM,27/Apr/2026 05:08 PM,04/May/2026 09:10 AM,Done
Task,Write final project report,Write final project report including strengths and challenges,High,Sprint 5: QA Delivery & PM,27/Apr/2026 11:07 AM,03/May/2026 02:48 AM,Done
Task,Produce presentation slides,Produce presentation slides for final demo,High,Sprint 5: QA Delivery & PM,25/Apr/2026 04:22 PM,01/May/2026 05:56 AM,Done
Task,Compile PM Evidence,Compile Trello screenshots sprint retrospectives and GitHub history,Medium,Sprint 5: QA Delivery & PM,25/Apr/2026 02:00 PM,05/May/2026 11:31 PM,Done
Task,Project evaluation report,Draft the project evaluation and retrospective report,Medium,Sprint 5: QA Delivery & PM,26/Apr/2026 02:28 PM,02/May/2026 12:59 AM,Done
